Fecha;Último;puntos;calificacion
29-05-2023;27739,4;52;Neutral
28-05-2023;28071,2;50;Neutral
27-05-2023;26857,5;48;Neutral
26-05-2023;26711,5;49;Neutral
25-05-2023;26475,8;51;Neutral
24-05-2023;26328,4;50;Neutral
23-05-2023;27220,7;50;Neutral
22-05-2023;26847,3;49;Neutral
21-05-2023;26749,9;52;Neutral
20-05-2023;27116,2;48;Neutral
19-05-2023;26882,9;48;Neutral
18-05-2023;26828,0;51;Neutral
17-05-2023;27403,1;50;Neutral
16-05-2023;27035,3;54;Neutral
15-05-2023;27183,9;50;Neutral
14-05-2023;26920,0;48;Neutral
13-05-2023;26777,5;48;Neutral
12-05-2023;26799,2;49;Neutral
11-05-2023;26983,5;52;Neutral
10-05-2023;27603,3;52;Neutral
09-05-2023;27634,9;51;Neutral
08-05-2023;27670,5;60;Greed
07-05-2023;28424,8;64;Greed
06-05-2023;28857,1;60;Greed
05-05-2023;29513,2;61;Greed
04-05-2023;28842,1;64;Greed
03-05-2023;29023,6;64;Greed
02-05-2023;28669,1;55;Greed
01-05-2023;28077,6;63;Greed
30-04-2023;29252,1;60;Greed
29-04-2023;29234,1;64;Greed
28-04-2023;29321,8;64;Greed
27-04-2023;29475,9;59;Greed
26-04-2023;28424,6;56;Greed
25-04-2023;28298,8;53;Neutral
24-04-2023;27509,3;53;Neutral
23-04-2023;27591,4;56;Greed
22-04-2023;27813,9;53;Neutral
21-04-2023;27264,8;50;Neutral
20-04-2023;28240,5;52;Neutral
19-04-2023;28813,7;63;Greed
18-04-2023;30382,2;58;Greed
17-04-2023;29434,9;69;Greed
16-04-2023;30310,3;68;Greed
15-04-2023;30299,6;68;Greed
14-04-2023;30472,5;68;Greed
13-04-2023;30387,4;61;Greed
12-04-2023;29886,4;65;Greed
11-04-2023;30209,6;68;Greed
10-04-2023;29641,0;62;Greed
09-04-2023;28326,6;61;Greed
08-04-2023;27941,2;61;Greed
07-04-2023;27910,4;64;Greed
06-04-2023;28036,7;63;Greed
05-04-2023;28173,5;62;Greed
04-04-2023;28164,4;62;Greed
03-04-2023;27802,1;63;Greed
02-04-2023;28198,3;63;Greed
01-04-2023;28456,1;61;Greed
31-03-2023;28473,7;63;Greed
30-03-2023;28029,5;60;Greed
29-03-2023;28350,4;57;Greed
28-03-2023;27262,2;59;Greed
27-03-2023;27129,8;64;Greed
26-03-2023;27973,5;64;Greed
25-03-2023;27475,6;64;Greed
24-03-2023;27462,2;61;Greed
23-03-2023;28310,7;57;Greed
22-03-2023;27261,7;62;Greed
21-03-2023;28114,0;68;Greed
20-03-2023;27720,5;66;Greed
19-03-2023;27958,7;63;Greed
18-03-2023;26914,5;64;Greed
17-03-2023;27391,8;51;Neutral
16-03-2023;25004,1;52;Neutral
15-03-2023;24282,7;50;Neutral
14-03-2023;24699,7;56;Greed
13-03-2023;24114,4;49;Neutral
12-03-2023;21994,8;33;Fear
11-03-2023;20467,5;33;Fear
10-03-2023;20156,7;34;Fear
09-03-2023;20361,8;44;Fear
08-03-2023;21710,8;50;Neutral
07-03-2023;22197,8;49;Neutral
06-03-2023;22410,0;48;Neutral
05-03-2023;22428,3;47;Neutral
04-03-2023;22347,1;50;Neutral
03-03-2023;22354,4;50;Neutral
02-03-2023;23465,4;51;Neutral
01-03-2023;23642,2;50;Neutral
28-02-2023;23130,5;53;Neutral
27-02-2023;23494,1;50;Neutral
26-02-2023;23558,7;51;Neutral
25-02-2023;23166,1;52;Neutral
24-02-2023;23191,5;53;Neutral
23-02-2023;23936,3;56;Greed
22-02-2023;24186,6;59;Greed
21-02-2023;24450,7;60;Greed
20-02-2023;24839,5;58;Greed
19-02-2023;24302,9;60;Greed
18-02-2023;24631,4;60;Greed
17-02-2023;24573,5;61;Greed
16-02-2023;23539,6;62;Greed
15-02-2023;24327,9;53;Neutral
14-02-2023;22198,5;50;Neutral
13-02-2023;21772,6;48;Neutral
12-02-2023;21786,8;50;Neutral
11-02-2023;21859,8;49;Neutral
10-02-2023;21635,0;48;Neutral
09-02-2023;21792,5;55;Greed
08-02-2023;22964,6;58;Greed
07-02-2023;23251,7;54;Neutral
06-02-2023;22761,8;56;Greed
05-02-2023;22936,0;58;Greed
04-02-2023;23323,8;58;Greed
03-02-2023;23431,2;60;Greed
02-02-2023;23427,6;60;Greed
01-02-2023;23725,6;56;Greed
31-01-2023;23125,1;51;Neutral
30-01-2023;22832,2;61;Greed
29-01-2023;23753,1;55;Greed
28-01-2023;23027,9;52;Neutral
27-01-2023;23074,6;55;Greed
26-01-2023;23016,0;54;Neutral
25-01-2023;23055,1;51;Neutral
24-01-2023;22632,5;52;Neutral
23-01-2023;22915,5;50;Neutral
22-01-2023;22707,8;53;Neutral
21-01-2023;22775,7;53;Neutral
20-01-2023;22677,2;51;Neutral
19-01-2023;21081,2;45;Fear
18-01-2023;20670,6;52;Neutral
17-01-2023;21137,1;51;Neutral
16-01-2023;21184,2;45;Fear
15-01-2023;20879,8;52;Neutral
14-01-2023;20958,2;46;Fear
13-01-2023;19927,0;31;Fear
12-01-2023;18851,3;30;Fear
11-01-2023;17942,3;26;Fear
