Y (compra/vende),X1=precio,X2=puntos
1,3668,23
0,3687.1,21
0,4076,27
0,3850.9,35
0,3964.4,28
1,3944.4,31
0,4026.1,25
0,3762.5,33
0,3793.7,26
1,3586.9,29
1,3861.6,21
1,3706.8,24
0,3815,23
1,3709.4,26
0,3809.4,24
0,3873.8,30
0,3780.1,33
0,3802.7,48
0,3785.4,36
0,4004.1,31
0,3985.9,39
0,3971,39
0,3978,42
1,3603.7,37
1,3616.5,19
1,3597.2,22
1,3490.2,21
0,3638.1,16
1,3571.3,27
0,3588,24
0,3626.4,28
0,3605.6,29
0,3677.8,31
0,3542.3,35
0,3536.7,30
0,3580.1,27
0,3561.5,33
0,3574.3,37
0,3572,35
0,3570.9,41
0,3555.6,39
1,3442.8,35
1,3414.8,21
1,3460,22
1,3437.2,17
1,3467.9,23
1,3502.5,22
0,3459.1,19
1,3462.8,27
1,3468.4,21
1,3404.3,14
0,3397.7,18
0,3661.7,37
0,3661.4,42
0,3679,40
0,3631.8,46
0,3632,38
0,3611.5,48
0,3592.6,48
0,3604.7,43
0,3616.8,43
0,3664.2,38
0,3896,63
0,3914.3,65
0,3972.4,59
0,3936.6,59
0,3965.2,61
0,4120.4,63
0,3755.2,69
0,3833.7,47
0,3810.3,40
0,3814.6,39
0,3816.6,39
0,3821.9,42
0,3823.1,41
0,3809.5,44
0,3715.9,36
0,3857.2,35
0,3863,42
0,3875.1,56
0,3865.9,54
0,3944.3,55
0,3915.2,55
0,3870.3,56
0,3886,56
0,3865.1,54
0,3879,55
0,3924.3,55
0,4006.4,54
0,3981.5,58
0,3990.2,56
0,4017,56
0,4041.2,55
0,3982.2,62
0,3990.4,56
0,4002.5,50
0,3994.7,44
0,3937,46
0,3942.8,43
0,4041.7,44
0,4025.6,49
0,4102.2,50
0,4111.8,57
0,4102.3,56
0,4145.1,62
0,4859.3,60
0,4968.7,71
0,4902.4,61
0,5010.2,59
0,5046.2,65
0,5173.6,69
0,5245.2,65
0,5158.4,64
0,5307.8,62
0,5022.6,65
0,5054.2,42
0,5051.8,62
0,5134.8,51
0,5032.3,60
0,5180.9,50
0,5208.3,61
0,5264.7,64
0,5241,61
0,5290.2,62
0,5243.5,62
0,5346.7,61
0,5511.6,68
0,5415.6,65
0,5209.1,58
0,5298.3,41
0,5265.9,42
0,5302.3,40
0,5235,42
0,5320.8,42
0,5384.2,51
0,5493.8,50
0,5766.8,63
0,5830.9,66
0,5774.9,67
0,5745.1,57
0,5849.5,69
0,5990.3,63
0,6191.5,69
2,6386,71
0,7190.3,76
2,6984.8,75
2,7806,78
2,7994.6,78
0,8164.6,77
0,7871.8,75
0,7359.5,65
0,7262.6,67
0,8157.2,70
0,7965.3,73
0,7930.3,68
0,7635.7,69
0,7852.1,65
0,7970.1,64
0,8027.4,69
0,8630.2,67
0,8760.1,70
0,8716.3,71
0,8647.8,71
0,8271.9,73
0,8558.3,61
0,8545.7,62
0,8728.6,63
0,8124.8,66
0,7685.5,42
0,7779.1,27
0,7784.9,34
0,7985.2,27
0,7901.4,62
0,7635,62
0,7987.8,46
0,7888,61
0,8133.1,60
0,8219,63
0,8656.1,67
2,8812.5,75
2,8962.5,80
2,9318.8,84
2,9080.6,83
2,9255.4,82
2,9517,81
2,10179.3,84
2,10721.7,83
2,10897.1,84
2,11046.4,80
2,11809.9,87
2,13063.8,95
0,11287.8,92
0,12409.1,62
2,11906.5,74
0,10818.6,78
0,10616.6,65
2,10835.9,63
